"","X","Plot","Rep","Depth","Year","Season","Cropping.system","Cover","GMC","BD","MBC","pH","AG","BG","CB","LAP","NAG","PHOS","XYL","sep","asep","bac_richness","bac_shannon.div","bac_simpson.div","bac_invsimpson.div","bac_evenness","fun_richness","fun_shannon.div","fun_simpson.div","fun_invsimpson.div","fun_evenness","amf_relabund","amf_richness","amf_shannon.div","amf_simpson.div","amf_invsimpson.div","amf_evenness","plantpath_relabund","plantpath_richness","plantpath_shannon.div","plantpath_simpson.div","plantpath_invsimpson.div","plantpath_evenness","sap_relabund","sap_richness","sap_shannon.div","sap_simpson.div","sap_invsimpson.div","sap_evenness","orgC","totN","POC","MAOC","sandC","POM","MAOM","sandM","POMc","MAOMc","sandc","poxc","noN","nhN","inorgN","P","K","Ca","Mg","Mn","Zn","Al","B","Cu","Fe","Na","Ni","Si","WEC","WEN","WAS","MWD4","MWD5","CCpc","CCc","CCn","CCcn","Wc","Wn","Wcn","inputC","inputN","Weeds","Wheat","Clover","Radish","Vetch","Grass","Yield","Yield.crop","tissue.N.percent","tissue.P.percent","tissue.K.percent","tissue.Ca.percent","tissue.Mg.percent","tissue.S.percent","tissue.B.ppm","tissue.Cu.ppm","tissue.Fe.ppm","tissue.Mn.ppm","tissue.Zn.ppm","tissue.Na.ppm","Notes","season.year","new.name"
"31",31,111,1,"0-10 cm",2020,"Fall","Soybean-Soybean-Soybean","No cover",0.18,1.333444628,104.9814,6.605,3.971795,69.206097,23.454784,407.212996,27.646059,147.583641,8.899007,1.815952153,8.221310655,2355,7.269154751,0.998824828,850.9392979,0.936228442,698,4.960655264,0.975420502,40.68431376,0.757557923,0.006648709,20,2.718667184,0.918352788,12.24781563,0.907513401,396,4.70626085347403,0.97179744,35.4577740460441,0.786814068923508,396,0.117154096,59,2.986675234,0.908745338,10.95834425,0.732470339,10.32,1.02,1.9866624,NA,NA,1.02,85.07,15.13,19.4,NA,NA,NA,5.883876,1.051657,6.935533,23.5482,77.0352,1212.93,61.295,31.9721,2.7204,117.076,0.2432,0.3643,13.442,5.6578,0.7151,32.2054,50.80416434,12.6155521,54.44563471,3.226277567,3.326562738,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, high P, high Ni,","Fall 2020","111_Fall_2020"
"34",34,112,1,"0-10 cm",2020,"Fall","Soybean-Soybean-Soybean","Wheat-Clover",0.186440678,1.304914413,177.6999,6.665,3.636039,81.267845,29.222914,307.962617,26.756254,180.084961,11.809211,1.0808666,3.422744234,3259,7.526107745,0.99895643,958.2495034,0.930392421,753,4.969117365,0.977336962,44.1247107,0.750161297,0.01908903,54,3.74043335,0.971538154,35.13475567,0.937690727,413,4.73741223243385,0.97460728,39.3813659978136,0.786495135770745,413,0.147740124,67,2.670143823,0.873520859,7.906442042,0.635039006,11.29,1.1,1.9866624,NA,NA,1.02,85.07,15.13,19.4,NA,NA,NA,7.029341,1.541484,8.570825,23.5482,77.0352,1212.93,61.295,31.9721,2.7204,117.076,0.2432,0.3643,13.442,5.6578,0.7151,32.2054,68.43874283,12.26168762,51.6644474,3.254975385,3.289590769,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high lap, high P, high Ni,","Fall 2020","112_Fall_2020"
"37",37,113,1,"0-10 cm",2020,"Fall","Soybean-Soybean-Soybean","SHM",0.191176471,1.388964924,136.6948,6.65,5.246863,76.092739,28.640061,22.587138,25.790008,177.15827,12.034135,1.575313232,6.235614876,1444,6.866411661,0.998476515,656.3899227,0.943814299,682,4.570929081,0.962732237,26.83284235,0.700522346,0.013778297,43,3.446465588,0.959454913,24.66390065,0.916320717,347,4.2866644290328,0.959044,24.4164469186444,0.732847737183051,347,0.195272439,54,2.635688986,0.871023948,7.753377371,0.660741922,10.62,1.09,1.9866624,NA,NA,1.02,85.07,15.13,19.4,NA,NA,NA,6.432957,1.09058,7.523537,23.5482,77.0352,1212.93,61.295,31.9721,2.7204,117.076,0.2432,0.3643,13.442,5.6578,0.7151,32.2054,88.29508841,8.051422519,61.10667731,3.861212517,4.164685695,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high P, high Ni,","Fall 2020","113_Fall_2020"
"40",40,114,1,"0-10 cm",2020,"Fall","Soybean-Soybean-Soybean","Wheat",0.186440678,1.351244752,110.5316,6.695,6.276741,73.949141,31.579297,23.757574,31.105007,173.244172,13.929325,1.46902565,7.275174646,538,5.998463647,0.9968197,314.4357172,0.953975601,737,5.039525915,0.981640775,54.46852988,0.763265253,0.00906524,29,3.182870587,0.952146943,20.89730659,0.94523046,404,4.7035431217636,0.976672,42.8669410150893,0.783739037778626,404,0.095047025,63,2.763324373,0.849492422,6.644183733,0.666964643,10.48,1.07,1.9866624,NA,NA,1.02,85.07,15.13,19.4,NA,NA,NA,4.860034,1.916022,6.776056,23.5482,77.0352,1212.93,61.295,31.9721,2.7204,117.076,0.2432,0.3643,13.442,5.6578,0.7151,32.2054,46.00496821,20.95664908,59.15304208,3.886473538,4.014781337,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high P, high Ni,","Fall 2020","114_Fall_2020"
"43",43,115,1,"0-10 cm",2020,"Fall","Soybean-Soybean-Soybean","Clover",0.208333333,1.158513304,167.6888,6.595,7.007009,76.889791,37.67059,39.961419,27.688072,160.507389,15.241824,3.470546672,9.774192669,1510,6.847837167,0.997995491,498.8752921,0.935514143,596,4.259072798,0.92175574,12.78049029,0.666496462,0.006616037,22,2.908411553,0.935156715,15.42179732,0.940916081,331,3.90202784115417,0.9066168,10.7085642813696,0.6725177924176,331,0.139099846,56,2.549876955,0.856885711,6.987422466,0.633454453,12.06,1.24,1.9866624,NA,NA,1.02,85.07,15.13,19.4,NA,NA,NA,2.903945,1.868608,4.772553,23.5482,77.0352,1212.93,61.295,31.9721,2.7204,117.076,0.2432,0.3643,13.442,5.6578,0.7151,32.2054,83.0989154,10.93663131,62.23589195,3.688126506,3.682290663,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high cb, high xyl, high asept. hyph., low fun_evenness, high P, high Ni,","Fall 2020","115_Fall_2020"
"46",46,116,1,"0-10 cm",2020,"Fall","Corn-Soybean-Corn","SHM",0.193548387,1.328467297,272.8083,6.63,5.027289,74.3922,34.16952,36.172311,29.699742,157.724759,11.283237,2.884459973,5.63780813,704,6.238447906,0.997338202,375.6858905,0.951450174,560,5.101191943,0.98353273,60.72652002,0.806138259,0.011565532,26,2.976689337,0.933474723,15.03188029,0.913628342,361,4.89166768985709,0.98249016,57.1107445870437,0.830662092926425,361,0.120943504,45,3.003388415,0.915956506,11.89860093,0.788982061,11.36,1.13,2.7087296,NA,NA,1.07,85.2,14.93,25.27,NA,NA,NA,3.055394,0.983089,4.038483,27.4075,96.1952,1229.82,53.6301,34.8503,3.2345,113.863,0.2746,0.3724,14.1588,4.3211,0.6596,29.1011,37.52066136,8.939440354,66.487214,3.084622432,3.053800514,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high mbc/n, high cb, high P, high K, high Ni,","Fall 2020","116_Fall_2020"
"49",49,117,1,"0-10 cm",2020,"Fall","Corn-Soybean-Corn","No cover",0.195652174,1.377511855,170.0632,6.6,5.152763,79.275609,38.218565,27.776369,29.479931,194.504065,13.703937,2.989720974,4.898819909,2141,7.183660382,0.998692916,765.0615901,0.936710638,742,4.937112162,0.978405438,46.30795493,0.746989148,0.010716321,33,3.212687691,0.949788743,19.91585274,0.918827611,398,4.64728021622889,0.97452728,39.2576842991248,0.776299586487386,398,0.149534486,61,2.479949231,0.840491952,6.269276155,0.603265708,12.83,1.25,2.7087296,NA,NA,1.07,85.2,14.93,25.27,NA,NA,NA,4.205475,1.378589,5.584064,27.4075,96.1952,1229.82,53.6301,34.8503,3.2345,113.863,0.2746,0.3724,14.1588,4.3211,0.6596,29.1011,64.67641813,9.747376986,85.17298188,3.657882022,3.904195225,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high cb, high P, high K, high Ni,","Fall 2020","117_Fall_2020"
"52",52,118,1,"0-10 cm",2020,"Fall","Corn-Soybean-Corn","Wheat-Clover",0.1875,1.357527287,218.8166,6.685,5.920863,91.594371,58.879173,37.955183,31.264347,206.680272,17.79627,2.546508445,8.327770859,1587,6.946052695,0.998525168,678.0434844,0.942527683,805,5.236112071,0.983684493,61.29138282,0.782578912,0.023447389,41,3.332800487,0.956118034,22.7884047,0.897464874,429,4.92801575749599,0.98156232,54.2367586377463,0.813008460409468,429,0.17704337,62,2.408952524,0.781903399,4.585124178,0.583686476,12.49,1.24,2.7087296,NA,NA,1.07,85.2,14.93,25.27,NA,NA,NA,7.264506,1.617684,8.88219,27.4075,96.1952,1229.82,53.6301,34.8503,3.2345,113.863,0.2746,0.3724,14.1588,4.3211,0.6596,29.1011,84.11962133,40.45575837,27.08219924,3.203406489,3.304551527,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high cb, high xyl, high wen, high P, high K, high Ni,","Fall 2020","118_Fall_2020"
"55",55,119,1,"0-10 cm",2020,"Fall","Corn-Soybean-Corn","Clover",0.179487179,1.43100073,0,6.7,8.802063,96.297142,42.515999,29.525507,34.140936,246.081855,19.141633,2.171526162,3.841930902,604,6.051792001,0.996690574,302.1672482,0.945064711,823,5.127801101,0.978409267,46.31616657,0.763866313,0.02004096,46,3.570236016,0.966941832,30.2497104,0.932507291,419,4.7983813081541,0.97419048,38.7453931727519,0.794714125524229,419,0.126865126,67,2.938499814,0.905446843,10.5760615,0.698861981,12.87,1.22,2.7087296,NA,NA,1.07,85.2,14.93,25.27,NA,NA,NA,7.188485,1.701838,8.890323,27.4075,96.1952,1229.82,53.6301,34.8503,3.2345,113.863,0.2746,0.3724,14.1588,4.3211,0.6596,29.1011,68.96836209,11.47866977,49.54782132,3.409960784,3.307019608,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high ag, high cb, high phos, high xyl, high P, high K, high Ni,","Fall 2020","119_Fall_2020"
"58",58,120,1,"0-10 cm",2020,"Fall","Corn-Soybean-Corn","Wheat",0.218181818,1.210859754,225.6656,6.645,6.802307,101.624389,38.894831,26.914974,40.733021,306.573757,20.12335,2.6740558,0.880068998,1628,6.605673108,0.987329312,78.92231518,0.893249093,648,4.673286696,0.96504536,28.6085052,0.72186679,0.005013691,25,3.08258825,0.9483531,19.36224624,0.957659884,346,4.43733018610426,0.96308144,27.0866469331415,0.758980014472221,346,0.13474062,55,2.762398893,0.884580884,8.664076095,0.689335966,11.57,1.17,2.7087296,NA,NA,1.07,85.2,14.93,25.27,NA,NA,NA,9.949717,1.504895,11.454612,27.4075,96.1952,1229.82,53.6301,34.8503,3.2345,113.863,0.2746,0.3724,14.1588,4.3211,0.6596,29.1011,47.59328621,12.17797626,57.83199335,3.176644256,3.12883094,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high cb, high nag, high phos, high xyl, low bac_evenness, high no-n, high P, high K, high Ni,","Fall 2020","120_Fall_2020"
"61",61,201,2,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","No cover",0.208333333,1.294484333,132.664,6.695,5.900297,105.571913,42.94913,41.534497,24.777856,211.638561,15.465849,2.906328035,5.252400064,563,5.998577787,0.996506558,286.2506325,0.947151893,654,4.898882652,0.978565086,46.65285865,0.755638059,0.031533592,64,3.779488666,0.967471593,30.74235964,0.908774926,364,4.61431250906438,0.97563448,41.041603052182,0.782464323067348,364,0.130033941,55,3.096505176,0.927861333,13.86219136,0.772709688,9.09,0.97,2.7672556,NA,NA,1.39,78.83,21.5,19.94,NA,NA,NA,11.947498,1.825294,13.772792,14.9721,63.0094,992.569,45.275,35.9616,2.0926,103.353,0.2338,0.3524,13.3234,7.064,0.5199,27.6794,41.46167539,7.412243744,59.46462715,3.574731123,3.57358011,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high cb, high xyl, high no-n, high inorg. n,","Fall 2020","201_Fall_2020"
"64",64,202,2,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","SHM",0.147058824,1.38142833,157.9228,6.595,5.256849,69.478395,30.19096,29.235857,23.684036,133.426824,12.686953,3.02731035,4.660017055,1934,7.075351149,0.998537265,683.6509139,0.934984531,654,4.536669609,0.954577363,22.01545454,0.699767775,0.016381418,50,3.65435787,0.96813908,31.38641347,0.934135066,363,4.21948514510959,0.94579952,18.4500211068242,0.7158460769904,363,0.113842392,60,3.08658053,0.921240644,12.69690423,0.753864381,9.4,0.98,2.7672556,NA,NA,1.39,78.83,21.5,19.94,NA,NA,NA,2.557559,2.455354,5.012913,14.9721,63.0094,992.569,45.275,35.9616,2.0926,103.353,0.2338,0.3524,13.3234,7.064,0.5199,27.6794,32.02580851,12.56397455,61.04932991,3.459675177,3.59407234,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Fall 2020","202_Fall_2020"
"67",67,203,2,"0-10 cm",2020,"Fall","Corn-Cotton-Soybean","Wheat",0.185185185,1.408604275,272.8364,6.28,6.722577,99.317059,36.958443,43.918256,23.742106,191.056838,15.225097,2.453896231,4.587719041,1602,6.859629471,0.997882628,472.2835073,0.929614028,686,4.821269265,0.97456416,39.3146045,0.738226857,0.016162436,55,3.809949185,0.97304419,37.09775361,0.9507443,392,4.6531464385808,0.97385216,38.2440767573919,0.779256807593634,392,0.12511476,55,3.026609288,0.924238314,13.19928383,0.755267693,9.17,0.94,2.7672556,NA,NA,1.39,78.83,21.5,19.94,NA,NA,NA,0.85091,1.336065,2.186975,14.9721,63.0094,992.569,45.275,35.9616,2.0926,103.353,0.2338,0.3524,13.3234,7.064,0.5199,27.6794,35.49178237,9.605495223,60.85814361,3.405152687,3.477891874,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"note: high mbc/n, high cb, high xyl,","Fall 2020","203_Fall_2020"
